Setor,Valor Total (2010-2023),Participação (%)
Indústrias de transformação,35781133.37636094,33.37220622647064
Outros serviços,17801359.303479932,16.602901521831363
Comércio e reparação de veículos,11516130.152786056,10.740818809377235
Atividades financeiras e seguros,9292314.973873477,8.666719647128337
"Administração, saúde e educação públicas",6618467.463087072,6.172886106152494
Informação e comunicação,5614479.136971176,5.236490237534083
Atividades imobiliárias,5460524.031286563,5.092899997323321
"Transporte, armazenagem e correio",5393701.425806631,5.030576153435814
Construção,4680093.850206447,4.365011456890052
"Eletricidade e gás, água, esgoto",2287429.09229071,2.133430335853655
Agropecuária,2075713.176832477,1.9359679716020515
Indústrias extrativas,697017.5065128187,0.6500915364009594
